id,c2_net,c1_net,c3_net,c4_net,c5_net,c6_net,c7_net,cohort,Race,Sex
8438,917,unk,917,917,917,unk,unk,3,1,0
4452,917,804,917,917,917,unk,unk,3,1,0
4549,917,804,917,917,917,unk,unk,3,1,0
4441,804,804,804,917,917,unk,unk,3,2,0
8449,917,unk,917,917,917,unk,unk,3,1,0
96,801,701,801,917,917,unk,unk,2,2,1
4375,804,704,804,917,917,unk,unk,2,1,1
211,801,701,801,917,917,unk,unk,2,1,0
8463,917,unk,917,917,917,unk,unk,3,1,0
4573,917,804,917,917,917,unk,unk,3,1,1
9149,unk,unk,unk,917,917,unk,unk,2,unk,0
597,917,801,917,917,917,unk,unk,3,1,1
4487,917,804,917,917,917,unk,unk,3,2,1
507,801,701,801,917,917,unk,unk,2,1,1
9175,unk,unk,unk,917,917,unk,unk,2,1,0
309,801,701,801,917,917,unk,unk,2,4,1
4425,917,804,917,917,917,unk,unk,3,1,1
223,917,801,917,917,917,unk,unk,3,unk,1
419,801,701,801,917,917,unk,unk,2,1,0
4589,917,804,917,917,917,unk,unk,3,1,0
573,917,801,917,917,917,unk,unk,3,unk,1
4524,917,804,917,917,917,unk,unk,3,1,0
195,801,701,801,917,917,unk,unk,2,2,0
4140,804,704,804,917,917,unk,unk,2,1,1
622,917,801,917,917,917,unk,unk,3,1,0
4133,804,704,804,917,917,unk,unk,2,1,1
9171,unk,unk,unk,917,917,unk,unk,2,1,0
4575,917,804,917,917,917,unk,unk,3,unk,0
4163,804,704,804,917,917,unk,unk,2,2,1
9125,unk,unk,unk,917,917,unk,unk,3,1,1
4324,804,704,804,917,917,unk,unk,2,2,0
4552,917,804,917,917,917,unk,unk,3,1,1
136,801,701,801,917,917,unk,unk,2,1,1
430,801,701,801,917,917,unk,unk,2,1,1
4502,917,804,917,917,917,unk,unk,3,1,1
264,917,801,917,917,917,unk,unk,3,1,0
4141,804,704,804,917,917,unk,unk,2,unk,0
4310,804,704,804,917,917,unk,unk,2,2,0
9123,unk,unk,unk,917,917,unk,unk,3,unk,1
568,915,801,917,917,917,unk,unk,3,1,1
4408,917,804,917,917,917,unk,unk,3,2,0
4555,917,804,917,917,917,unk,unk,3,1,1
4202,804,704,804,917,917,unk,unk,2,2,0
4122,804,704,804,917,917,unk,unk,2,2,1
133,801,701,801,917,917,unk,unk,2,4,0
523,801,701,801,917,917,unk,unk,2,2,1
9174,unk,unk,unk,917,917,unk,918,2,1,1
23,917,801,917,917,917,unk,unk,3,1,1
610,917,801,917,917,917,unk,unk,3,2,0
